Entry	CBB_01	CBB_02	CBB_03	rGlyP_07	rGlyP_08	rGlyP_09	CBB_UP_01	CBB_UP_02	CBB_UP_03	rGlyP_UP_07	rGlyP_UP_08	rGlyP_UP_09	CBB_01_imputado	CBB_02_imputado	CBB_03_imputado	rGlyP_07_imputado	rGlyP_08_imputado	rGlyP_09_imputado	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	KEGG	log2FC	p_value	neg_log10_p	p_adj_fdr	regulate	color
P23536	25.5277137643928	25.589517758472383	25.660782291759578	25.862898562729477	25.90377741825012	25.879461405078786	13	12	14	15	15	14	No	No	No	No	No	No	PT1_CUPNH	Phosphoenolpyruvate-protein phosphotransferase (EC 2.7.3.9) (Phosphotransferase system, enzyme I)	phbI ptsI H16_A0326	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	586	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; phosphoenolpyruvate-protein phosphotransferase activity [GO:0008965]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	kinase activity [GO:0016301]; metal ion binding [GO:0046872]; phosphoenolpyruvate-protein phosphotransferase activity [GO:0008965]	GO:0005737; GO:0008965; GO:0009401; GO:0016301; GO:0046872	reh:H16_A0326	0.2893745238112082	0.0019806531651486874	2.1083613779880355	0.007791814810066064	no_keep	gray
P23537	24.21207505237688	24.20270919059296	24.003016707881574	24.036572979000685	23.87456309633812	23.927376894142224	5	6	7	7	6	7	No	No	No	No	No	No	PTHP_CUPNH	Phosphocarrier protein HPr (Histidine-containing protein) (Protein H)	phbH ptsH H16_A0325	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	89	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]		GO:0005737; GO:0009401	reh:H16_A0325	-0.1930959937901271	0.08108468560946458	0.8844914016637612	0.13046937992350133	no_keep	gray
P27745	22.17120490169939	21.904474861536254	22.339335832743	23.438842702821187	23.46368056799159	23.310158345633067	1	2	2	5	5	5	No	No	No	No	No	No	ACOA_CUPNH	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha (Acetoin:DCPIP oxidoreductase-alpha) (Ao:DCPIP OR) (EC 1.1.1.-)	acoA H16_B0144	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	333	acetoin catabolic process [GO:0045150]; acetyl-CoA biosynthetic process from pyruvate [GO:0006086]		pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]; acetoin catabolic process [GO:0045150]; acetyl-CoA biosynthetic process from pyruvate [GO:0006086]	pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]	GO:0004739; GO:0006086; GO:0045150	reh:H16_B0144	1.2658886734890658	0.0007257069412934704	2.4076988422731658	0.0039111201500008465	upregulate	red
P27746	23.644230375518873	23.38753213658494	23.27389330052605	24.552662113546287	24.31166093050423	24.33507827888592	1	2	3	2	2	3	No	No	No	No	No	No	ACOB_CUPNH	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta (Acetoin:DCPIP oxidoreductase-beta) (Ao:DCPIP OR) (EC 1.1.1.-) (TPP-dependent acetoin dehydrogenase E1 subunit beta)	acoB H16_B0145	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	338	acetoin catabolic process [GO:0045150]		oxidoreductase activity [GO:0016491]; acetoin catabolic process [GO:0045150]	oxidoreductase activity [GO:0016491]	GO:0016491; GO:0045150	reh:H16_B0145	0.9645818367688577	0.0019591638433614647	2.110162635644894	0.007759564801590387	no_keep	gray
P27747	23.28364970805225	22.81008377276923	22.771356305963867	23.88900107290656	23.81508212049334	23.71444685036808	2	4	4	4	4	4	No	No	No	No	No	No	ACOC_CUPNH	Dihydrolipoyllysine-residue acetyltransferase component of acetoin cleaving system (EC 2.3.1.12) (Acetoin dehydrogenase E2 component) (Dihydrolipoamide acetyltransferase component of acetoin cleaving system) (Fast-migrating protein) (FMP)	acoC H16_B0146	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	374	acetoin catabolic process [GO:0045150]		dihydrolipoyllysine-residue acetyltransferase activity [GO:0004742]; acetoin catabolic process [GO:0045150]	dihydrolipoyllysine-residue acetyltransferase activity [GO:0004742]	GO:0004742; GO:0045150	reh:H16_B0146	0.8511467523275407	0.007814656082161557	1.6724557572146783	0.02125906906228293	no_keep	gray
P27750	23.27109150704555	22.98357213959813	22.600628221178106	23.198844786697837	23.111717478738772	23.191391613522462	3	3	3	3	4	3	No	No	No	No	No	No	Y4148_CUPNH	Uncharacterized protein H16_B0148 (ORF 8)	H16_B0148	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	253	protein modification process [GO:0036211]		protein modification process [GO:0036211]		GO:0036211	reh:H16_B0148	0.21555400371242683	0.3335874176012918	0.38317817082596994	0.4138298648441015	no_keep	gray
P28613	22.47582940258619	22.485886997727487	22.890295126640034	22.587612116400635	22.703109315541408	22.65477885871732	3	4	4	3	3	3	No	No	No	No	No	No	HPF_CUPNH	Ribosome hibernation promoting factor (HPF) (Hibernation factor HPF)	hpf H16_A0386	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	116	negative regulation of translational elongation [GO:0045900]	cytosolic small ribosomal subunit [GO:0022627]	cytosolic small ribosomal subunit [GO:0022627]; ribosomal small subunit binding [GO:0043024]; negative regulation of translational elongation [GO:0045900]	ribosomal small subunit binding [GO:0043024]	GO:0022627; GO:0043024; GO:0045900	reh:H16_A0386	0.031162921235221575	0.8353991629568527	0.05925368145423866	0.8724615945155825	no_keep	gray
P28614	21.74011617506773	21.147755042315335	20.084694742308297	21.03843722449223	21.162021675537453	21.060785473481666	0	0	1	1	2	1	Si	Si	No	No	No	No	ACOR_CUPNH	Acetoin catabolism regulatory protein	acoR H16_B0142	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	668	acetoin catabolic process [GO:0045150]; phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; sequence-specific DNA binding [GO:0043565]; acetoin catabolic process [GO:0045150]; phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; sequence-specific DNA binding [GO:0043565]	GO:0000160; GO:0005524; GO:0006355; GO:0016887; GO:0043565; GO:0045150	reh:H16_B0142	0.0962261379399969	0.8526334390403812	0.05363619444054512	0.8838199604257362	no_keep	gray
P28615	25.558477326016384	25.61426120539136	25.678709960843133	25.720848565128993	25.728622867522816	25.649723710423473	11	12	13	12	14	13	No	No	No	No	No	No	RP54_CUPNH	RNA polymerase sigma-54 factor	rpoN hno ntrA H16_A0387	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	493	DNA-templated transcription initiation [GO:0006352]	DNA-directed RNA polymerase complex [GO:0000428]	DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-binding transcription activator activity [GO:0001216]; nucleotidyltransferase activity [GO:0016779]; sigma factor activity [GO:0016987]; DNA-templated transcription initiation [GO:0006352]	DNA binding [GO:0003677]; DNA-binding transcription activator activity [GO:0001216]; nucleotidyltransferase activity [GO:0016779]; sigma factor activity [GO:0016987]	GO:0000428; GO:0001216; GO:0003677; GO:0006352; GO:0016779; GO:0016987	reh:H16_A0387	0.08258221694146428	0.1262808284640654	0.7281151068774588	0.18701863941481833	no_keep	gray
P29267	27.27584665590291	27.00726647319499	26.93144202107136	24.39681489925221	24.347946781403973	24.431744923899	23	24	25	9	11	11	No	No	No	No	No	No	HOXA_CUPNH	Hydrogenase transcriptional regulatory protein HoxA	hoxA PHG019	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	482	phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; sequence-specific DNA binding [GO:0043565]; phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; sequence-specific DNA binding [GO:0043565]	GO:0000160; GO:0005524; GO:0005737; GO:0006355; GO:0016887; GO:0043565	reh:PHG019	-2.6793495152046916	1.5252679132066326e-05	3.4719937020380125	0.00033729219989773947	downregulate	blue
P31638	28.114741965153236	28.194910696299115	28.389682625645676	28.87884762315196	29.00845844598072	28.93390835002644	29	31	30	34	33	31	No	No	No	No	No	No	ACSA_CUPNH	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)	acsA acoE H16_A2525	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	660	acetoin catabolic process [GO:0045150]; acetyl-CoA biosynthetic process from acetate [GO:0019427]	cytosol [GO:0005829]	cytosol [GO:0005829]; acetate-CoA ligase activity [GO:0003987]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; acetoin catabolic process [GO:0045150]; acetyl-CoA biosynthetic process from acetate [GO:0019427]	acetate-CoA ligase activity [GO:0003987]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]	GO:0003987; GO:0005524; GO:0005829; GO:0016208; GO:0019427; GO:0045150; GO:0046872	reh:H16_A2525	0.7072930440203642	0.0014081765696102003	2.206966780554987	0.006209165266906608	no_keep	gray
P31891	29.09170398706972	28.820821333796708	28.62906107763041	23.12609051781942	23.30222746837519	23.29431714622136	33	33	35	8	11	11	No	No	No	No	No	No	MBHL_CUPNH	Uptake hydrogenase large subunit (EC 1.12.99.6) (Hydrogenlyase) (Membrane-bound hydrogenase large subunit)	hoxG PHG002	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	618		plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; ferredoxin hydrogenase activity [GO:0008901]; hydrogenase (acceptor) activity [GO:0033748]; nickel cation binding [GO:0016151]	ferredoxin hydrogenase activity [GO:0008901]; hydrogenase (acceptor) activity [GO:0033748]; nickel cation binding [GO:0016151]	GO:0005886; GO:0008901; GO:0016151; GO:0033748	reh:PHG002	-5.606317088693622	2.7455886055938142e-06	3.8443184682017013	0.00014311380606657758	downregulate	blue
P31900	26.0804546380587	26.06808553533897	26.05123869548582	22.503084528478105	23.00083274477033	22.61726111506363	3	3	3	2	1	2	No	No	No	No	No	No	HYPC_CUPNH	Hydrogenase maturation factor HypC	hypC PHG015	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	90	protein maturation [GO:0051604]		carbon dioxide binding [GO:1902670]; iron ion binding [GO:0005506]; protein maturation [GO:0051604]	carbon dioxide binding [GO:1902670]; iron ion binding [GO:0005506]	GO:0005506; GO:0051604; GO:1902670	reh:PHG015	-3.359533493523813	2.4019686486706448e-05	3.358289734430379	0.0004382382347707243	downregulate	blue
P31901	28.531038316800736	28.31650898962055	28.061679845097743	23.53296001638429	23.332305826028293	23.505403857880452	4	4	4	2	2	2	No	No	No	No	No	No	HYPA_CUPNH	Hydrogenase maturation factor HypA	hypA PHG012	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	119	protein maturation [GO:0051604]; protein modification process [GO:0036211]		nickel cation binding [GO:0016151]; zinc ion binding [GO:0008270]; protein maturation [GO:0051604]; protein modification process [GO:0036211]	nickel cation binding [GO:0016151]; zinc ion binding [GO:0008270]	GO:0008270; GO:0016151; GO:0036211; GO:0051604	reh:PHG012	-4.846185817075334	5.397988348270735e-06	3.6946285649193866	0.00020200933318720868	downregulate	blue
P31902	28.845793639476575	28.581517751402902	28.49530928381604	25.74439794709245	25.63672516072395	25.672925837835816	22	23	22	9	9	9	No	No	No	No	No	No	HYPB_CUPNH	Hydrogenase maturation factor HypB	hypB PHG013	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	361	protein maturation [GO:0051604]		GTP binding [GO:0005525]; GTPase activity [GO:0003924]; nickel cation binding [GO:0016151]; zinc ion binding [GO:0008270]; protein maturation [GO:0051604]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; nickel cation binding [GO:0016151]; zinc ion binding [GO:0008270]	GO:0003924; GO:0005525; GO:0008270; GO:0016151; GO:0051604	reh:PHG013	-2.9561905763477654	1.143098630919877e-05	3.544868062157952	0.0002851884533038565	downregulate	blue
P31903	27.297506194603745	27.388659850437577	27.36834199464507	24.38816100734226	24.509090608779147	24.513028844566435	20	19	19	6	5	6	No	No	No	No	No	No	HYPD_CUPNH	Hydrogenase maturation factor HypD	hypD PHG016	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	379	protein maturation [GO:0051604]		4 iron, 4 sulfur cluster binding [GO:0051539]; carbon monoxide binding [GO:0070025]; iron ion binding [GO:0005506]; protein maturation [GO:0051604]	4 iron, 4 sulfur cluster binding [GO:0051539]; carbon monoxide binding [GO:0070025]; iron ion binding [GO:0005506]	GO:0005506; GO:0051539; GO:0051604; GO:0070025	reh:PHG016	-2.8814091929995165	5.184026131281933e-07	4.218038731654252	6.052868910884785e-05	downregulate	blue
P31905	26.87508369163724	26.973238599445057	27.11271679610142	24.463319042736824	24.694077693795997	24.537205024219627	18	18	18	8	9	14	No	No	No	No	No	No	HYPE_CUPNH	Carbamoyl dehydratase HypE (EC 4.2.1.-) (Hydrogenase maturation factor HypE)	hypE PHG017	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	351	protein maturation [GO:0051604]		lyase activity [GO:0016829]; protein maturation [GO:0051604]	lyase activity [GO:0016829]	GO:0016829; GO:0051604	reh:PHG017	-2.422145775477091	1.5181822068404105e-05	3.4719937020380125	0.00033729219989773947	downregulate	blue
P31914	24.90815618519365	25.045104449891745	25.032306595636044	21.96651834617898	22.362606110511315	22.233168473949902	6	6	6	3	4	2	No	No	No	No	No	No	HOXV_CUPNH	Hydrogenase expression/formation protein HoxV	hoxV PHG011	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	383						reh:PHG011	-2.8077581000270833	2.290514664662445e-05	3.3679574267428447	0.00042859053244549217	downregulate	blue
P39185	20.629266272463553	20.086384553763672	19.638156449833257	21.01462288748022	21.562175300278167	21.397391042265436	0	0	2	3	4	2	Si	Si	No	No	No	No	NAPA_CUPNH	Periplasmic nitrate reductase (EC 1.9.6.1)	napA PHG211	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	831	cellular respiration [GO:0045333]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]; nitrate assimilation [GO:0042128]	membrane [GO:0016020]; nitrate reductase complex [GO:0009325]; periplasmic space [GO:0042597]	membrane [GO:0016020]; nitrate reductase complex [GO:0009325]; periplasmic space [GO:0042597]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; iron ion binding [GO:0005506]; molybdenum ion binding [GO:0030151]; molybdopterin cofactor binding [GO:0043546]; nitrate reductase (cytochrome) activity [GO:0050140]; cellular respiration [GO:0045333]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]; nitrate assimilation [GO:0042128]	4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; iron ion binding [GO:0005506]; molybdenum ion binding [GO:0030151]; molybdopterin cofactor binding [GO:0043546]; nitrate reductase (cytochrome) activity [GO:0050140]	GO:0005506; GO:0006777; GO:0009055; GO:0009325; GO:0016020; GO:0030151; GO:0042128; GO:0042597; GO:0043546; GO:0045333; GO:0050140; GO:0051539	reh:PHG211	1.2067939846544498	0.021482042927849266	1.3332230678721357	0.04642767462246165	upregulate	red
